17299,2022-06-07 22:31,"@119813 Hello, thanks for reaching out about your billing concerns and I'm happy to help. Can you please DM the full address? ~AT"
17300,2022-06-07 22:31,@115900 shame on your sales man for tricking my dad into a package he straight up said he did not want!!! Disgusting.
17301,2022-06-07 22:31,"@119814 address, and account number so I can assist further with this issue. Thanks! -KW"
17302,2022-06-07 22:31,The internet at The Haven at Kennesaw is ass. That shit goes out for days at a time! @116136 get this shit together
17303,2022-06-07 22:31,"@119814 I understand your frustration and I'd like to look into your internet concerns. Please send a DM with your full name,"
17304,2022-06-07 22:31,"@119815 We'll do everything we can to help you figure out what's happening. To start, what type of device are you using? Along with that, please confirm which version of the operating system is currently installed. Send over those details to us via DM. https://t.co/GDrqU22YpT"
17305,2022-06-07 22:31,@115858 how come when I am listening to @115888 my music keeps pausing by itself????? I’m sorry I listen to Spotify and not Apple Music but Spotify is simply better. I’m sick of your shit Apple
17306,2022-06-07 22:31,@119816 Certainly not what we want you to experience. We'd love to look into this with you and help resolve ensure your iPhone is working 100% as expected. Please DM us and let us know which iPhone and the exact version of iOS you're using. https://t.co/GDrqU22YpT
17307,2022-06-07 22:31,"in a matter of 4 hours i had to make 3 hard resets on my phone, i just made 2 hard resets on this phone’s life before iOS 11. fix this @115858 @AppleSupport"
17308,2022-06-07 22:31,"@119817 Hi, CJ! Thanks for reaching out. Are you currently experiencing XFINITY service issues? -GO"
17309,2022-06-07 22:31,"@116136 Second night in a row rolling text only. I didn't want to see the adorable halloween pics my friends post, anyway."
17311,2022-06-07 22:31,"Are we partying like it's 1999 tonight, @116136? Or only loading photos on sites that pay you?"
17312,2022-06-07 22:31,"@119818 Hello, I'm sorry to see that you feel this way and I'd be happy to turn that around. Can you please DM the full address? ~AT"
17313,2022-06-07 22:31,@115900 .. terrible.. worst service ever
17314,2022-06-07 22:31,"@119819 Hello, thanks for reaching out about your concerns and I'm happy to help! Can you please DM the full address? ~AT"
17315,2022-06-07 22:31,Why do I keep getting these stupid alerts from @115900 during the WS? Just worry about making my stuff work rather than try to sell me. https://t.co/x98XLgVNVA
17316,2022-06-07 22:31,"@119820 Hello, let me do some research on the account to see what is causing this problem. Please DM for assistance, thank you. -DP"
17317,2022-06-07 22:31,@comcastcares Everyday right around 8pm the internet only works in fits and starts
17318,2022-06-07 22:31,@116136 glad we paying $100/ month for internet that doesnt work. Thanks!!
17319,2022-06-07 22:31,@119821 Hi! Thanks for reaching out. Please DM your full address so I can help with the XFINITY On Demand concern. -GO
17320,2022-06-07 22:31,@comcastcares Sent!
17321,2022-06-07 22:31,@119822 @115900 @116602 @1130 @1131 As it should be
17322,2022-06-07 22:31,@119821 @115900 @116602 @1130 @1131 This is going to be my response to allegations of collusion for a while
17323,2022-06-07 22:31,@119822 @115900 @116602 @1130 @1131 😂😂😂
17324,2022-06-07 22:31,@119821 @115900 @116602 @1130 @1131  https://t.co/ZAI588dFcJ
17325,2022-06-07 22:31,"Collusion!

Where's #SVUseason18

Why?! @115900  @116602

I need the justice that only Barba &amp; Benson can provide! @1130 @1131 https://t.co/yUqD5Z0weU"
17326,2022-06-07 22:31,@119823 Jennie! Thanks for reaching out. Send me a DM https://t.co/tCo20jmsK2 and I'll see what I can do for you. *JelisaAbregano
17327,2022-06-07 22:31,@115911 @TMobileHelp 2 out of 2 @116688 codes don't work.... neither on phones or desktop. #TMobileTuesday #Fail 😩😣😯
17329,2022-06-07 22:31,"@119824 We know how important it is to stay connected, we are here to assist as needed. *ChanneyT"
17330,2022-06-07 22:31,@115911 your service is a joke. I can’t wait to kill myself because of it. it’ll all be your fault. thanks
17331,2022-06-07 22:31,@119824 Those are some serious words. Whats going on? We can help. *MelJ
17332,2022-06-07 22:31,and seriously @115911 you can suck my fucking dick. i’d have better cell phone service at the bottom of the pacific ocean. eat shit
17333,2022-06-07 22:31,"@119825 Hey there, Willie! Your wish is our command! Please send us a DM!https://t.co/jg1YyB1ZS7 *CherneilRandolph"
17334,2022-06-07 22:31,@115911 @TMobileHelp @1114 I need to talk to someone ASAP
17335,2022-06-07 22:31,@119826 Thanks for stopping by. What did you get in your bowl? -Becky
17336,2022-06-07 22:31,@ChipotleTweets Steak with everything so good! 🤗
17338,2022-06-07 22:31,"@119826 Mmmm – sounds delicious. I like your style, my friend! -Becky"
17337,2022-06-07 22:31,$3 @ChipotleTweets bowl.  Best #Halloween 😋🥙
17339,2022-06-07 22:31,@119827 That's incredibly upsetting. Please provide more details here: https://t.co/Ax7W1Dx3Y9 -Becky
17340,2022-06-07 22:31,The fact that @ChipotleTweets has been out of guacamole every time I go is extremely upsetting 😭😭😭😭 #JusticeForGuac
17341,2022-06-07 22:31,"@119828 I mean, that's the only way to spend Halloween IMO. -Becky"
17342,2022-06-07 22:31,Nothing like spending your Halloween with a $3 bowl/burrito at @ChipotleTweets and watching #HocusPocus. 🤗 Happy Halloween! 🎃
17343,2022-06-07 22:31,"@119829 I'm so sorry about that. We appreciate you stopping by, though. -Becky"
17344,2022-06-07 22:31,@ChipotleTweets You know I'll do anything for chipotle 😩😩😩
17345,2022-06-07 22:31,@ChipotleTweets on Halloween is always a great time except when u see a trick dressing as a Native mocking ur culture. Miss me w/ that bs.
